Date,Open,High,Low,Close,Volume
2016-07-05,39.653,39.74,39.107,39.229,364470
2016-07-06,39.062,39.14,38.663,38.859,619250
2016-07-07,39.362,39.716,38.974,39.222,470942
2016-07-08,39.988,40.202,39.814,39.91,436164
2016-07-11,40.485,40.977,40.42,40.908,341883
2016-07-12,41.437,42.02,41.437,41.792,424100
2016-07-13,42.232,42.31,41.851,41.869,464431
2016-07-14,42.31,42.558,41.693,41.711,519831
2016-07-15,41.021,41.093,40.396,40.697,631690
2016-07-18,40.898,41.234,40.843,41.051,306660
2016-07-19,41.217,41.296,40.66,40.737,444714
2016-07-20,41.754,41.827,41.287,41.693,767957
2016-07-21,41.588,41.728,40.995,41.129,305571
2016-07-22,41.198,41.543,41.083,41.49,341610
2016-07-25,41.49,41.949,41.49,41.783,335011
2016-07-26,42.056,42.196,41.736,41.808,371819
2016-07-27,42.098,42.098,41.745,41.941,336546
2016-07-28,41.949,42.302,41.711,42.205,317978
2016-07-29,42.648,42.753,42.267,42.639,439968
2016-08-01,42.46,42.716,42.383,42.506,255193
2016-08-02,42.205,42.55,41.358,41.516,1472898
2016-08-03,41.296,42.029,41.262,41.676,485442
2016-08-04,41.597,42.187,41.597,42.039,486676
2016-08-05,42.124,42.839,42.115,42.771,319090
2016-08-08,42.488,42.763,42.292,42.366,265660
2016-08-09,41.588,42.09,41.058,41.065,937745
2016-08-10,41.058,41.296,40.952,41.243,401256
2016-08-11,41.552,41.973,41.508,41.701,346882
2016-08-12,41.736,41.817,41.63,41.649,253404
2016-08-15,41.456,41.916,41.456,41.764,420248
2016-08-16,41.808,42.124,41.719,42.056,281081
2016-08-17,41.983,42.46,41.817,42.442,291961
2016-08-18,42.329,42.338,41.966,42.31,315135
2016-08-19,41.906,42.134,41.622,42.047,349274
2016-08-22,42.084,42.533,41.896,42.515,344903
2016-08-23,42.816,43.29,42.78,43.132,306240
2016-08-24,43.213,43.32,42.921,42.954,219138
2016-08-25,42.563,42.902,42.563,42.814,250733
2016-08-26,42.962,43.301,42.625,42.741,254756
2016-08-29,42.679,43.017,42.679,42.814,136135
2016-08-30,42.679,43.035,42.679,42.989,209974
2016-08-31,42.704,43.204,42.679,43.122,333338
2016-09-01,43.38,44.024,43.38,44.024,323752
2016-09-02,41.916,42.312,41.558,41.718,1032121
2016-09-06,41.106,41.433,41.044,41.283,440555
2016-09-07,40.721,41.044,40.572,40.624,475716
2016-09-08,40.322,40.776,40.216,40.216,309048
2016-09-09,40.171,40.207,39.751,39.77,266935
2016-09-12,39.825,40.756,39.665,40.641,307513
2016-09-13,40.927,41.096,40.535,40.927,611309
2016-09-14,40.873,41.391,40.616,41.275,576573
2016-09-15,41.211,41.585,41.193,41.505,350930
2016-09-16,41.488,41.558,41.086,41.275,268654
2016-09-19,41.324,41.549,40.721,40.873,247639
2016-09-20,41.123,41.404,41.034,41.283,278716
2016-09-21,41.211,41.257,40.651,40.954,178516
2016-09-22,41.391,41.799,41.354,41.773,332401
2016-09-23,41.374,42.305,41.3,42.117,411045
2016-09-26,42.544,42.821,40.917,41.523,725989
